ID_Emissao,Chave_Data,SiteID,SourceID,Scope,CO2_kg,ActivityMetric,UnitOfMeasure,CategoriaEmissao
EM-000001,20241003,S-004,SRC-03,2,175.93,93.08,kWh,Energia Elétrica
EM-000002,20240122,S-002,SRC-03,3,43.72,426.46,kWh,Cadeia de Valor / Transporte
EM-000003,20230315,S-005,SRC-02,2,30.52,343.07,kWh,Energia Elétrica
EM-000004,20231218,S-005,SRC-02,1,204.57,55.88,kWh,Combustão Direta
EM-000005,20231204,S-003,SRC-02,2,171.75,284.55,kWh,Energia Elétrica
EM-000006,20230219,S-002,SRC-04,3,95.19,465.84,kWh,Cadeia de Valor / Transporte
EM-000007,20240516,S-003,SRC-03,1,93.58,346.99,kWh,Combustão Direta
EM-000008,20230904,S-002,SRC-02,3,76.01,101.12,kWh,Cadeia de Valor / Transporte
EM-000009,20230315,S-002,SRC-02,1,96.72,115.95,kWh,Combustão Direta
EM-000010,20240209,S-004,SRC-01,3,15.5,446.87,kWh,Cadeia de Valor / Transporte
EM-000011,20230505,S-001,SRC-02,2,19.99,464.64,kWh,Energia Elétrica
EM-000012,20240121,S-001,SRC-03,2,120.98,189.6,kWh,Energia Elétrica
EM-000013,20240726,S-003,SRC-02,2,101.31,247.18,kWh,Energia Elétrica
EM-000014,20240927,S-001,SRC-01,1,94.37,468.9,kWh,Combustão Direta
EM-000015,20230118,S-002,SRC-03,2,207.42,391.2,kWh,Energia Elétrica
EM-000016,20230125,S-001,SRC-04,1,96.29,413.85,kWh,Combustão Direta
EM-000017,20240412,S-005,SRC-02,2,69.13,132.47,kWh,Energia Elétrica
EM-000018,20240708,S-003,SRC-02,2,19.92,291.11,kWh,Energia Elétrica
EM-000019,20230312,S-004,SRC-04,2,31.87,308.91,kWh,Energia Elétrica
EM-000020,20240905,S-001,SRC-03,2,291.48,36.45,kWh,Energia Elétrica
EM-000021,20240620,S-005,SRC-02,1,42.08,62.29,kWh,Combustão Direta
EM-000022,20231211,S-005,SRC-03,2,40.37,461.1,kWh,Energia Elétrica
EM-000023,20240317,S-002,SRC-04,1,56.47,258.11,kWh,Combustão Direta
EM-000024,20230513,S-004,SRC-04,3,131.26,114.54,kWh,Cadeia de Valor / Transporte
EM-000025,20230418,S-002,SRC-01,2,178.83,11.68,kWh,Energia Elétrica
EM-000026,20240223,S-003,SRC-04,3,44.47,472.8,kWh,Cadeia de Valor / Transporte
EM-000027,20230528,S-001,SRC-01,2,13.63,12.9,kWh,Energia Elétrica
EM-000028,20230716,S-005,SRC-03,1,39.9,40.61,kWh,Combustão Direta
EM-000029,20241012,S-002,SRC-04,2,150.42,31.11,kWh,Energia Elétrica
EM-000030,20230810,S-002,SRC-01,2,287.43,462.22,kWh,Energia Elétrica
EM-000031,20230801,S-004,SRC-02,1,96.76,406.33,kWh,Combustão Direta
EM-000032,20240512,S-004,SRC-02,3,46.69,397.91,kWh,Cadeia de Valor / Transporte
