MeterReadingID,Chave_Data,SiteID,DeviceID,Energia_kWh,Agua_m3,ReadingType
MW-000001,20241223,S-003,D-0041,347.51,3.42,instant
MW-000002,20240420,S-005,D-0003,520.01,20.98,aggregate
MW-000003,20240315,S-001,D-0035,324.37,8.56,aggregate
MW-000004,20240321,S-003,D-0020,632.45,13.12,aggregate
MW-000005,20240913,S-001,D-0044,339.67,6.71,aggregate
MW-000006,20240731,S-005,D-0033,542.6,17.36,aggregate
MW-000007,20231009,S-004,D-0011,423.78,24.91,aggregate
MW-000008,20240518,S-002,D-0045,243.71,5.01,aggregate
MW-000009,20230708,S-005,D-0044,249.87,5.66,aggregate
MW-000010,20231211,S-002,D-0004,631.97,20.02,instant
MW-000011,20241217,S-005,D-0023,418.63,19.72,aggregate
MW-000012,20240930,S-004,D-0021,459.85,19.25,aggregate
MW-000013,20231119,S-002,D-0004,402.73,29.02,instant
MW-000014,20230905,S-005,D-0019,505.78,23.35,instant
MW-000015,20241214,S-003,D-0028,571.12,15.6,aggregate
MW-000016,20231111,S-004,D-0014,1038.57,15.89,instant
MW-000017,20240723,S-001,D-0017,568.8,8.0,aggregate
MW-000018,20230627,S-004,D-0043,462.0,24.48,aggregate
MW-000019,20240506,S-004,D-0038,552.66,16.47,aggregate
MW-000020,20230324,S-002,D-0014,296.65,14.75,aggregate
MW-000021,20240608,S-003,D-0029,31.3,22.98,aggregate
MW-000022,20241109,S-005,D-0012,410.56,19.82,aggregate
MW-000023,20240803,S-003,D-0042,382.61,51.07,aggregate
MW-000024,20240709,S-002,D-0020,545.73,9.82,aggregate
MW-000025,20241201,S-005,D-0046,430.87,22.82,aggregate
MW-000026,20240515,S-001,D-0016,264.77,11.49,instant
MW-000027,20240524,S-005,D-0011,1226.03,7.63,aggregate
MW-000028,20240221,S-001,D-0047,306.21,8.13,aggregate
MW-000029,20240522,S-001,D-0012,371.27,12.17,aggregate
MW-000030,20230608,S-005,D-0029,431.54,34.46,aggregate
MW-000031,20230223,S-001,D-0043,555.15,18.27,aggregate
MW-000032,20240914,S-005,D-0035,320.97,40.96,aggregate
MW-000033,20241218,S-002,D-0045,102.11,12.29,aggregate
MW-000034,20240104,S-001,D-0040,135.49,10.71,instant
MW-000035,20230629,S-002,D-0015,180.25,18.08,aggregate
MW-000036,20241015,S-004,D-0046,747.2,9.88,aggregate
MW-000037,20230212,S-005,D-0009,436.81,32.02,aggregate
MW-000038,20231116,S-001,D-0015,503.13,38.25,aggregate
MW-000039,20240615,S-005,D-0003,222.57,23.53,aggregate
MW-000040,20240909,S-003,D-0007,381.62,16.02,aggregate
