FinanceID,Chave_Data,SiteID,CAPEX_ESG,OPEX_ESG,SavingsEstimate,RevenueImpactEstimate
FIN-000001,20231217,S-005,13105.95,19504.98,45079.89,2982.0
FIN-000002,20240114,S-004,75253.97,10408.23,12617.91,14599.16
FIN-000003,20240310,S-002,19822.64,12553.81,9704.26,19468.84
FIN-000004,20230502,S-004,94955.38,14962.8,13083.94,23259.58
FIN-000005,20230805,S-005,69536.86,8681.0,30474.39,266.99
FIN-000006,20230617,S-004,24024.05,17777.46,26818.67,14149.95
FIN-000007,20230203,S-004,34599.89,12967.8,22806.21,17057.19
FIN-000008,20230225,S-003,38881.39,11987.51,35354.46,16729.26
FIN-000009,20230607,S-005,85981.2,10776.47,6471.78,12944.92
FIN-000010,20231229,S-004,34940.01,8248.9,45700.58,22001.73
FIN-000011,20240914,S-001,21751.87,6229.4,15932.31,22601.07
FIN-000012,20230210,S-004,18768.09,4256.52,13857.16,28094.23
FIN-000013,20241130,S-003,27177.92,10452.55,25712.83,25939.78
FIN-000014,20230721,S-002,53971.97,1956.01,21061.65,26536.19
FIN-000015,20230627,S-004,10991.75,3046.63,36435.24,23269.86
FIN-000016,20240628,S-004,41395.58,18224.33,34334.04,21352.99
FIN-000017,20230722,S-001,64029.26,3021.2,14083.46,24703.92
FIN-000018,20230623,S-002,97479.03,18074.6,15188.99,14870.99
FIN-000019,20230214,S-003,56549.63,12890.69,41291.61,19760.79
FIN-000020,20231004,S-002,56447.11,14297.96,49126.77,15860.85
FIN-000021,20240509,S-005,83171.6,13482.07,40165.97,24737.73
FIN-000022,20240418,S-005,41445.24,7361.7,4446.47,5896.3
FIN-000023,20240811,S-005,20955.25,1404.07,43187.18,8666.47
FIN-000024,20240614,S-001,99779.61,16188.83,43884.84,29229.43
FIN-000025,20230518,S-003,10138.37,16624.67,44681.63,15032.94
FIN-000026,20240709,S-005,99258.37,18397.9,42917.99,23338.68
FIN-000027,20230823,S-004,89695.11,12004.23,12614.59,29752.88
FIN-000028,20241031,S-002,99834.33,12241.0,26165.19,12878.74
FIN-000029,20240711,S-005,30678.04,2696.65,6728.13,9717.61
FIN-000030,20230708,S-001,12181.58,5068.48,5353.53,10742.98
FIN-000031,20231014,S-003,73102.1,14403.86,8333.14,22002.51
FIN-000032,20230226,S-001,24782.46,2579.21,33502.75,10471.46
FIN-000033,20230908,S-005,29698.64,16712.41,44361.58,2201.85
FIN-000034,20240709,S-004,81081.33,2771.49,49959.74,29403.68
FIN-000035,20230827,S-001,31755.05,6795.25,28566.7,2100.25
FIN-000036,20230121,S-005,15735.88,1719.06,37348.95,29061.83
FIN-000037,20230807,S-003,24532.14,14733.22,24237.26,3446.68
FIN-000038,20231210,S-005,86552.84,18591.88,9532.06,19256.12
FIN-000039,20230809,S-001,19779.72,7494.15,35701.59,29772.03
FIN-000040,20230201,S-002,78692.01,3935.15,38834.15,7793.71
FIN-000041,20231022,S-001,14819.39,2860.16,24833.47,18122.19
FIN-000042,20240507,S-001,43438.8,13517.32,4403.31,6332.35
FIN-000043,20230531,S-002,96708.31,8953.41,28038.43,1478.32
FIN-000044,20230319,S-003,33838.37,3450.2,3830.73,16241.37
FIN-000045,20240406,S-001,18397.49,5364.57,1604.74,8066.19
FIN-000046,20240413,S-004,91442.17,10754.44,49664.42,540.98
FIN-000047,20231013,S-002,19274.47,14114.59,26045.37,10316.04
FIN-000048,20240514,S-001,40636.71,18973.25,12344.69,165.38
FIN-000049,20230118,S-003,92425.27,11332.04,20575.87,16425.88
FIN-000050,20241220,S-005,33688.51,19155.09,8837.92,27674.23
FIN-000051,20230115,S-001,27277.1,19419.18,21903.7,12084.8
